name,phone,website,address,rating,reviews,timings,timestamp
India's Tandoori Hollywood,+1 323-874-6673,https://www.indiastandoorihollywoodca.com/,"7300 Sunset Blvd Suite D & E, Los Angeles, CA 90046, United States",4.4,,HoursIndia's Tandoori Hollywood11 am–1:30 amWednesday11 am–1:30 amThursday11 am–1:30 amFriday11 am–1:30 amSaturday11 am–1:30 amSunday11 am–1:30 amMonday11 am–1:30 amTuesday11 am–1:30 amSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Brunch11 am–4 pmWednesday11 am–4 pmThursday11 am–4 pmFriday11 am–4 pmSaturday11 am–4 pmSunday11 am–4 pmMonday11 am–4 pmTuesday11 am–4 pmDelivery11 am–1 amWednesday11 am–1 amThursday11 am–1 amFriday11 am–1 amSaturday11 am–1 amSunday11 am–1 amMonday11 am–1 amTuesday11 am–1 amTakeout11 am–1:30 amWednesday11 am–1:30 amThursday11 am–1:30 amFriday11 am–1:30 amSaturday11 am–1:30 amSunday11 am–1:30 amMonday11 am–1 amTuesday11 am–1:30 amHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–1:30 amThursday11 am–1:30 amFriday11 am–1:30 amSaturday11 am–1:30 amSunday11 am–1:30 amMonday11 am–1:30 amTuesday11 am–1:30 amSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:25.492Z
Woodlands Indian Vegetarian Cusine,+1 818-998-3031,http://www.woodlandsinla.com/,"9840 CA-27 A, Chatsworth, CA 91311, United States",4.5,,"Hours: Closed ⋅ Opens 11:30 amWednesday11:30 am–3 pm, 5–10 pmThursday11:30 am–3 pm, 5–10 pmFriday11:30 am–3 pm, 5–10 pmSaturday11:30 am–3 pm, 5–10 pmSunday11:30 am–3 pm, 5–9:30 pmMondayClosedTuesday11:30 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:27.429Z
The Bombay Frankie Company,+1 310-444-9241,https://www.thebombayfrankiecompany.com/#/,"Outside the Mall (Macy's-Nordstrom, 6000 Sepulveda Blvd Suite 1601, Culver City, CA 90230, United States",4.3,,HoursThe Bombay Frankie Company11 am–9 pmWednesday11 am–9 pmThursday11 am–9 pmFriday11 am–9:45 pmSaturday11 am–9:45 pmSunday11 am–8:45 pmMonday11 am–9 pmTuesday11 am–9 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Drive-through11 am–9 pmWednesday11 am–9 pmThursday11 am–9 pmFriday11 am–9:30 pmSaturday11 am–9:30 pmSunday11 am–8:30 pmMonday11 am–9 pmTuesday11 am–9 pmDelivery10 am–9:15 pmWednesday10 am–9:15 pmThursday10 am–9:15 pmFriday10 am–9:45 pmSaturday10 am–9:45 pmSunday10 am–8:45 pmMonday10 am–9:15 pmTuesday10 am–9:15 pmTakeout10 am–9 pmWednesday10 am–9 pmThursday10 am–9 pmFriday10 am–9:30 pmSaturday10:30 am–9:30 pmSunday10:30 am–8:30 pmMonday10 am–9 pmTuesday10 am–9 pmOnline operating hours9 am–9 pmWednesday9 am–9 pmThursday9 am–9 pmFriday9 am–9:30 pmSaturday9 am–9:30 pmSunday10:30 am–8:30 pmMonday9 am–9 pmTuesday9 am–9 pmHours: Closed ⋅ Opens 11 amTakeout: 10 am–9 pm · More hoursWednesday11 am–9 pmThursday11 am–9 pmFriday11 am–9:45 pmSaturday11 am–9:45 pmSunday11 am–8:45 pmMonday11 am–9 pmTuesday11 am–9 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:29.498Z
The India Restaurant,+1 562-860-5621,http://www.theindiarestaurant.net/,"17824 Pioneer Blvd, Artesia, CA 90701, United States",4.2,,"Hours: Closed ⋅ Opens 11 amWednesday11 am–3 pm, 5–10 pmThursday11 am–3 pm, 5–10 pmFriday11 am–3 pm, 5–10 pmSaturday11 am–3 pm, 5–10 pmSunday11 am–3 pm, 5–10 pmMondayClosedTuesday11 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:31.523Z
Lal Mirch Indian Restaurant,+1 818-312-9690,https://lalmirchagourahills.com/,"5146 Kanan Rd, Agoura Hills, CA 91301, United States",4.4,,Hours: Closed ⋅ Opens 11:30 amWednesday11:30 am–10 pmThursday11:30 am–10 pmFriday11:30 am–10 pmSaturday11:30 am–10 pmSunday11:30 am–10 pmMonday11:30 am–10 pmTuesday11:30 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:33.541Z
Jaipur Cuisine of India,+1 310-470-4994,https://jaipurla.com/,"10916 W Pico Blvd, Los Angeles, CA 90064, United States",4.2,,"Hours: Closed ⋅ Opens 11 amWednesday11 am–3 pm, 5–9:30 pmThursday11 am–3 pm, 5–9:30 pmFriday11 am–3 pm, 5–9:30 pmSaturday11 am–3 pm, 5–9:30 pmSunday11 am–3 pm, 5–9:30 pmMonday11 am–3 pm, 5–9:30 pmTuesday11 am–3 pm, 5–9:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:35.753Z
Anarkali Indian Restaurant,+1 323-934-6488,https://www.anarkaliindianrestaurant.com/,"7013 Melrose Ave, Los Angeles, CA 90038, United States",4.3,,HoursAnarkali Indian Restaurant11 am–10 pmWednesday11 am–10 pmThursday11 am–10 pmFriday11 am–10 pmSaturday11 am–11 pmSunday11 am–11 pmMonday11 am–10 pmTuesday11 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Delivery11 am–10 pmWednesday11 am–10 pmThursday11 am–10 pmFriday11:30 am–10 pmSaturday11 am–10 pmSunday11 am–10 pmMonday11 am–10 pmTuesday11 am–10 pmTakeout11 am–10 pmWednesday11 am–10 pmThursday11 am–10 pmFriday11 am–10 pmSaturday11 am–10 pmSunday11 am–10 pmMonday11 am–10 pmTuesday11 am–10 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–10 pmThursday11 am–10 pmFriday11 am–10 pmSaturday11 am–11 pmSunday11 am–11 pmMonday11 am–10 pmTuesday11 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:37.789Z
The Indian Kitchen,+1 323-656-9000,http://www.indiankitchenweho.com/,"8165 Santa Monica Blvd, West Hollywood, CA 90046, United States",4.4,,HoursThe Indian Kitchen11 am–10:45 pmWednesday11 am–10:45 pmThursday11 am–10:45 pmFriday11 am–10:45 pmSaturday12 pm–12 amSunday12 pm–12 amMonday11 am–12 amTuesday11 am–10:45 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Online operating hours11 am–10:30 pmWednesday11 am–10:30 pmThursday11 am–2 amFriday11 am–2 amSaturday11 am–12 amSunday12 pm–2 amMonday11 am–2 amTuesday11 am–10:30 pmHours: Closed ⋅ Opens 11 am · More hoursWednesday11 am–10:45 pmThursday11 am–10:45 pmFriday11 am–10:45 pmSaturday12 pm–12 amSunday12 pm–12 amMonday11 am–12 amTuesday11 am–10:45 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:39.646Z
Flavor of India Burbank,+1 818-558-1199,http://www.flavorofindia.com/,"161 E Orange Grove Ave, Burbank, CA 91502, United States",4.3,,HoursFlavor of India Burbank11:30 am–10 pmWednesday11:30 am–10 pmThursday11:30 am–10 pmFriday11:30 am–10 pmSaturday11:30 am–10 pmSunday11:30 am–10 pmMonday11:30 am–10 pmTuesday11:30 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Happy hours3–7 pmWednesday3–7 pmThursday3–7 pmFriday3–7 pmSaturday3–7 pmSunday3–7 pmMonday3–7 pmTuesday3–7 pmHours: Closed ⋅ Opens 11:30 am · More hoursWednesday11:30 am–10 pmThursday11:30 am–10 pmFriday11:30 am–10 pmSaturday11:30 am–10 pmSunday11:30 am–10 pmMonday11:30 am–10 pmTuesday11:30 am–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:41.367Z
Annapurna Cuisine,+1 310-204-5500,https://www.annapurnacuisine.com/,"10200 Venice Blvd., Culver City, CA 90232, United States",4.3,,"Hours: Closed ⋅ Opens 11:30 amWednesday11:30 am–2:45 pm, 5:30–9:30 pmThursday11:30 am–2:45 pm, 5:30–9:30 pmFriday11:30 am–2:45 pm, 5:30–9:30 pmSaturday11:30 am–2:45 pm, 5:30–9:30 pmSunday11:30 am–2:45 pm, 5:30–9 pmMondayClosedTuesday11:30 am–2:45 pm, 5:30–9:30 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:46.454Z
CaliChilli - Unauthentic Indian Restaurant,+1 562-354-6644,http://www.cali-chilli.com/,"4111 N Viking Way, Long Beach, CA 90808, United States",4.6,,"Hours: Closed ⋅ Opens 12 pmWednesday12–2:30 pm, 5–9 pmThursday12–2:30 pm, 5–9 pmFriday12–2:30 pm, 5–10 pmSaturday12–2:30 pm, 5–10 pmSunday12–2:30 pm, 5–9 pmMonday12–2:30 pm, 5–9 pmTuesday12–2:30 pm, 5–9 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:48.416Z
Rajdhani,+1 562-402-9102,http://rajdhaniofartesia.com/,"18525 Pioneer Blvd 2nd floor, Artesia, CA 90701, United States",4.2,,Hours: Closed ⋅ Opens 11:30 amWednesday11:30 am–2:45 pmThursday11:30 am–2:45 pmFriday11:30 am–2:45 pmSaturday11:30 am–7:45 pmSunday11:30 am–7:45 pmMondayClosedTuesday11:30 am–2:45 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.,2024-11-20T12:50:50.134Z
The Curry Leaves,+1 916-468-3663,https://www.thecurryleavesrestaurant.com/,"6502 Lonetree Blvd, Rocklin, CA 95765, United States",4.3,,"Hours: Closed ⋅ Opens 11 amWednesday11 am–3 pm, 5–10 pmThursday11 am–3 pm, 5–10 pmFriday11 am–3 pm, 5–10:30 pmSaturday11 am–3 pm, 5–10:30 pmSunday11 am–3 pm, 5–10 pmMonday11 am–3 pm, 5–10 pmTuesday11 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:52.038Z
Mantra Indian Cuisine,+1 951-739-9401,http://mantrarestaurants.com/,"712 N Main St, Corona, CA 92878, United States",4.3,,"Hours: Closed ⋅ Opens 11 amWednesday11 am–3 pm, 5–10 pmThursday11 am–3 pm, 5–10 pmFriday11 am–3 pm, 5–10 pmSaturday11 am–3 pm, 5–10 pmSunday11 am–3 pm, 5–10 pmMonday11 am–3 pm, 5–10 pmTuesday11 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:54.587Z
All India Cafe,+1 818-937-9966,http://www.allindia.cafe/,"316 N Brand Blvd, Glendale, CA 91203, United States",4.3,,"HoursAll India Cafe11:30 am–3 pm, 5–10 pmWednesday11:30 am–3 pm, 5–10 pmThursday11:30 am–3 pm, 5–10 pmFriday11:30 am–3 pm, 5–10 pmSaturday11:30 am–11 pmSunday4–10 pmMonday11:30 am–3 pm, 5–10 pmTuesday11:30 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.Delivery11:30 am–3 pm, 5–9:45 pmWednesday11:30 am–3 pm, 5–9:45 pmThursday11:30 am–3 pm, 5–9:45 pmFriday11:30 am–3 pm, 5–10:45 pmSaturday11:30 am–10:45 pmSunday4:30–9:45 pmMonday11:30 am–3 pm, 5–9:45 pmTuesday11:30 am–3 pm, 5–9:45 pmHours: Closed ⋅ Opens 11:30 am · More hoursWednesday11:30 am–3 pm, 5–10 pmThursday11:30 am–3 pm, 5–10 pmFriday11:30 am–3 pm, 5–10 pmSaturday11:30 am–11 pmSunday4–10 pmMonday11:30 am–3 pm, 5–10 pmTuesday11:30 am–3 pm, 5–10 pmSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:57.102Z
Ettan,+1 650-752-6281,https://www.ettanrestaurant.com/,"518 Bryant St, Palo Alto, CA 94301, United States",4.2,,"Hours: Closed ⋅ Opens 11:30 amConfirmed by this business 12 weeks agoWednesday11:30 am–2 pm, 5–9 pmThursday11:30 am–2 pm, 5–9 pmFriday11:30 am–2 pm, 5–10 pmSaturday11 am–1:30 pm, 5–10 pmSunday11 am–1:30 pm, 5–9 pmMonday5–9 pmTuesday5–9 pmConfirmed by this business 12 weeks agoSuggest new hoursThanks for your feedback.Your responses help to improve the Google Search experience.Note: Your feedback won't directly influence the ranking of any single page.Learn moreDoneReview this businessUnable to add this file. Please check that it is a valid photo.",2024-11-20T12:50:59.084Z
